wave_length         LAB                 PPO                 bis                 
332.5               8.49123e-05         0.994405            0.00551027          
333                 7.1842e-05          0.994287            0.00564106          
333.5               6.10038e-05         0.994173            0.0057662           
334                 5.24188e-05         0.99406             0.00588737          
334.5               4.52065e-05         0.993945            0.00600956          
335                 3.95793e-05         0.993809            0.00615113          
335.5               3.49545e-05         0.993627            0.00633784          
336                 3.1423e-05          0.993386            0.00658235          
336.5               2.88678e-05         0.993044            0.00692664          
337                 2.70011e-05         0.99267             0.0073033           
337.5               2.58481e-05         0.992174            0.00779979          
338                 2.52561e-05         0.991544            0.00843095          
338.5               2.48476e-05         0.990714            0.00926123          
339                 2.5288e-05          0.989615            0.0103595           
339.5               2.62459e-05         0.988199            0.0117749           
340                 2.72644e-05         0.986465            0.0135074           
340.5               2.94821e-05         0.984201            0.0157699           
341                 3.24116e-05         0.981174            0.0187932           
341.5               3.56338e-05         0.977338            0.0226264           
342                 4.12153e-05         0.972461            0.0274975           
342.5               4.65406e-05         0.966703            0.0332508           
343                 5.35633e-05         0.959281            0.0406659           
343.5               6.28554e-05         0.949609            0.0503278           
344                 7.33832e-05         0.937642            0.0622845           
344.5               8.71356e-05         0.922093            0.0778198           
345                 0.000104402         0.902467            0.0974287           
345.5               0.000122324         0.877972            0.121906            
346                 0.000144235         0.845489            0.154367            
346.5               0.000174066         0.797175            0.202651            
347                 0.000195087         0.750368            0.249437            
347.5               0.000211862         0.696074            0.303714            
348                 0.000233827         0.637593            0.362173            
348.5               0.000244685         0.562114            0.437642            
349                 0.000260039         0.483633            0.516107            
349.5               0.000237953         0.412151            0.587611            
350                 0.000238069         0.355609            0.644153            
350.5               0.000229726         0.313936            0.685835            
351                 0.000213338         0.279143            0.720643            
351.5               0.000207204         0.235579            0.764214            
352                 0.000208663         0.204129            0.795663            
352.5               0.000196939         0.177374            0.822429            
353                 0.000196379         0.154418            0.845386            
353.5               0.000189212         0.134441            0.86537             
354                 0.000174702         0.117186            0.882639            
354.5               0.000173619         0.101954            0.897872            
355                 0.000149469         0.0882457           0.911605            
355.5               0.000139749         0.0764763           0.923384            
356                 0.000135336         0.0661939           0.933671            
356.5               0.000143337         0.0572421           0.942615            
357                 0.000139459         0.0485009           0.95136             
357.5               0.000150881         0.0417884           0.958061            
358                 0.000130333         0.0358543           0.964015            
358.5               0.000120792         0.030707            0.969172            
359                 0.000129967         0.025367            0.974503            
359.5               0.000116458         0.0212766           0.978607            
360                 0.000116062         0.0172083           0.982676            
360.5               0.000122886         0.0147022           0.985175            
361                 0.000112689         0.0124392           0.987448            
361.5               0.00013049          0.0105325           0.989337            
362                 0.000132554         0.00874369          0.991124            
362.5               0.000105278         0.00742645          0.992468            
363                 0.000120956         0.00632002          0.993559            
363.5               0.000109675         0.00538939          0.994501            
364                 9.41534e-05         0.00461232          0.995294            
364.5               0.000116562         0.00392343          0.99596             
365                 0.000102549         0.00330229          0.996595            
365.5               0.000127187         0.00290462          0.996968            
366                 0.000114464         0.00255525          0.99733             
366.5               0.000129133         0.00224469          0.997626            
367                 0.000121046         0.001964            0.997915            
367.5               0.000133594         0.00170611          0.99816             
368                 0.000137333         0.00148613          0.998377            
368.5               0.000152313         0.00129385          0.998554            
369                 0.000146402         0.00112867          0.998725            
369.5               0.000143964         0.000988489         0.998868            
370                 0.000142881         0.000876983         0.99898             
370.5               0.000124986         0.000775242         0.9991              
371                 0.000118249         0.000685712         0.999196            
371.5               0.000119065         0.000610917         0.99927             
372                 0.000108303         0.000545918         0.999346            
372.5               0.000113661         0.000492054         0.999394            
373                 0.000106616         0.000446711         0.999447            
373.5               0.000115128         0.000406531         0.999478            
374                 0.000113199         0.000371409         0.999515            
374.5               0.000136087         0.00034014          0.999524            
375                 0.000109485         0.000312645         0.999578            
375.5               8.60288e-05         0.000287716         0.999626            
376                 9.62626e-05         0.000265181         0.999639            
376.5               0.00010769          0.000246985         0.999645            
377                 0.000130803         0.000231322         0.999638            
377.5               9.86712e-05         0.000217042         0.999684            
378                 9.10975e-05         0.000204641         0.999704            
378.5               0.000105075         0.000193963         0.999701            
379                 0.000125757         0.000185754         0.999688            
379.5               0.000137777         0.000179019         0.999683            
380                 0.000106871         0.000174218         0.999719            
380.5               0.000138812         0.000168682         0.999693            
381                 0.000104953         0.000163188         0.999732            
381.5               0.000139279         0.000159288         0.999701            
382                 0.000149622         0.000156123         0.999694            
382.5               0.000153231         0.00015341          0.999693            
383                 0.000180416         0.000152939         0.999667            
383.5               0.000125552         0.00015248          0.999722            
384                 0.000153844         0.000152157         0.999694            
384.5               0.000164501         0.000152187         0.999683            
385                 0.000191194         0.000153678         0.999655            
385.5               0.000194529         0.000155833         0.99965             
386                 0.000218639         0.000160256         0.999621            
386.5               0.000270398         0.000164806         0.999565            
387                 0.000243436         0.000167529         0.999589            
387.5               0.00022075          0.000171856         0.999607            
388                 0.000303728         0.000176317         0.99952             
388.5               0.000320799         0.000180918         0.999498            
389                 0.000337282         0.000187464         0.999475            
389.5               0.000343829         0.000197045         0.999459            
390                 0.000403839         0.000207074         0.999389            
390.5               0.000392961         0.000215298         0.999392            
391                 0.000328636         0.000226064         0.999445            
391.5               0.000286122         0.000239262         0.999475            
392                 0.000264312         0.000255249         0.99948             
392.5               0.00026704          0.000273981         0.999459            
393                 0.000248523         0.000291605         0.99946             
393.5               0.000259312         0.000309207         0.999431            
394                 0.00024772          0.000328866         0.999423            
394.5               0.000220381         0.000357076         0.999423            
395                 0.000361968         0.000389969         0.999248            
395.5               0.000178115         0.000427151         0.999395            
396                 0.000233467         0.000466029         0.999301            
396.5               0.000333654         0.000510358         0.999156            
397                 0.000348738         0.000558813         0.999092            
397.5               0.000300447         0.000608793         0.999091            
398                 0.000400561         0.000697321         0.998902            
398.5               0.000400491         0.000787939         0.998812            
399                 0.000349545         0.00088319          0.998767            
399.5               0.000620295         0.000982475         0.998397            
400                 0.00062049          0.00111383          0.998266            
400.5               0.000758242         0.00125676          0.997985            
401                 0.000660879         0.00141116          0.997928            
401.5               0.000742916         0.0016254           0.997632            
402                 0.000840296         0.00187463          0.997285            
402.5               0.000979445         0.00212304          0.996898            
403                 0.00115386          0.00244902          0.996397            
403.5               0.00135617          0.00284189          0.995802            
404                 0.00159548          0.00325691          0.995148            
404.5               0.00186319          0.00371936          0.994417            
405                 0.00221046          0.00437338          0.993416            
405.5               0.0026041           0.00505863          0.992337            
406                 0.00301303          0.00582706          0.99116             
406.5               0.00354272          0.0067891           0.989668            
407                 0.00420982          0.00787855          0.987912            
407.5               0.0049292           0.00891329          0.986158            
408                 0.0060474           0.0105544           0.983398            
408.5               0.00701939          0.0120637           0.980917            
409                 0.00796283          0.0134721           0.978565            
409.5               0.00912546          0.0154477           0.975427            
410                 0.0112139           0.0188984           0.969888            
410.5               0.0117396           0.0208547           0.967406            
411                 0.0123806           0.023141            0.964478            
411.5               0.0130241           0.025602            0.961374            
412                 0.0137242           0.0280474           0.958228            
412.5               0.0145374           0.0311219           0.954341            
413                 0.0153427           0.0351518           0.949505            
413.5               0.0162121           0.0383869           0.945401            
414                 0.0171784           0.0427253           0.940096            
414.5               0.01825             0.0485023           0.933248            
415                 0.0195281           0.0528657           0.927606            
415.5               0.0208616           0.0565484           0.92259             
416                 0.0222329           0.0614147           0.916352            
416.5               0.0237941           0.0688293           0.907377            
417                 0.025395            0.0768286           0.897776            
417.5               0.0271385           0.0845196           0.888342            
418                 0.029191            0.0913594           0.87945             
418.5               0.031362            0.099987            0.868651            
419                 0.0337989           0.111462            0.854739            
419.5               0.0365248           0.122503            0.840972            
420                 0.0395081           0.137               0.823491            
420.5               0.0424489           0.153458            0.804093            
421                 0.0458891           0.167033            0.787078            
421.5               0.0502714           0.18254             0.767188            
422                 0.0544808           0.206869            0.73865             
422.5               0.0588591           0.224628            0.716513            
423                 0.0636608           0.244022            0.692317            
423.5               0.0687615           0.277181            0.654058            
424                 0.0749919           0.308843            0.616165            
424.5               0.0803994           0.337391            0.58221             
425                 0.0854429           0.381365            0.533192            
425.5               0.0901798           0.446639            0.463181            
426                 0.0954811           0.489742            0.414777            
426.5               0.101989            0.513448            0.384564            
427                 0.107558            0.542483            0.349959            
427.5               0.112478            0.584092            0.30343             
428                 0.116091            0.625482            0.258427            
428.5               0.117465            0.660106            0.222429            
429                 0.118475            0.692217            0.189308            
429.5               0.120895            0.724617            0.154487            
430                 0.124314            0.738489            0.137197            
430.5               0.131316            0.742281            0.126403            
431                 0.132359            0.765608            0.102033            
431.5               0.134094            0.780329            0.0855764           
432                 0.133656            0.79143             0.0749137           
432.5               0.137689            0.795541            0.0667699           
433                 0.143381            0.795437            0.061182            
433.5               0.149368            0.793786            0.0568453           
434                 0.152914            0.803964            0.0431225           
434.5               0.154606            0.816646            0.0287484           
435                 0.155452            0.822987            0.0215613           
435.5               0.16042             0.824869            0.0147112           
436                 0.163479            0.829078            0.00744277          
436.5               0.165707            0.826766            0.00752761          
437                 0.165707            0.82677             0.00752323          
437.5               0.172768            0.819433            0.00779909          
438                 0.175257            0.816851            0.0078925           
438.5               0.180457            0.811452            0.00809108          
439                 0.185975            0.805725            0.00829987          
439.5               0.188863            0.802732            0.0084059           
440                 0.188863            0.802736            0.00840102          
440.5               0.194916            0.796458            0.00862643          
441                 0.19809             0.793169            0.00874115          
441.5               0.198091            0.793173            0.00873608          
442                 0.201371            0.789776            0.00885386          
442.5               0.201371            0.78978             0.00884874          
443                 0.194919            0.796479            0.00860149          
443.5               0.19492             0.796483            0.00859653          
444                 0.204763            0.786278            0.00895933          
444.5               0.211897            0.778887            0.00921652          
445                 0.215654            0.774998            0.00934791          
445.5               0.211899            0.778896            0.00920589          
446                 0.211899            0.7789              0.00920059          
446.5               0.215657            0.775012            0.00933177          
447                 0.219549            0.770984            0.00946673          
447.5               0.227771            0.762475            0.00975423          
448                 0.223586            0.766814            0.00960011          
448.5               0.223587            0.766818            0.00959459          
449                 0.227774            0.762488            0.00973743          
449.5               0.219554            0.771006            0.00943957          
450                 0.22359             0.766832            0.00957809          
450.5               0.232123            0.758004            0.00987321          
451                 0.236639            0.753336            0.0100246           
451.5               0.246218            0.743434            0.0103473           
452                 0.256606            0.732704            0.0106904           
452.5               0.267909            0.721036            0.0110557           
